Bandit,Reward,Algorithm
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,4,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,3,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
0,1,Epsilon-Greedy
